,Step,Value
0,99,1.0232477188110352
1,599,1.0561224269866942
2,1099,1.112203376197815
3,1599,1.153939139415741
4,2099,1.2059685414418795
5,2599,1.2454888304946337
6,3099,1.2554355068266356
7,3599,1.2797616922055448
8,4099,1.3045779211452473
9,4599,1.3158970988063268
10,5099,1.3292366542362062
11,5599,1.3686816271527638
12,6099,1.3981915824469278
13,6599,1.415374831219437
14,7099,1.4226111292270063
15,7599,1.4571508118548686
16,8099,1.4577236054398537
17,8599,1.4588524151341877
18,9099,1.4789120077616797
19,9599,1.4959034392373056
20,10099,1.5040047081066732
21,10599,1.5420075330653282
22,11099,1.5606995670048518
23,11599,1.5567277831919155
24,12099,1.580699295185548
25,12599,1.578879685178291
26,13099,1.5866626027776731
27,13599,1.5875998581531499
28,14099,1.6127675310950673
29,14599,1.63889320864852
30,15099,1.66026703209762
31,15599,1.6756061603353674
32,16099,1.6863202114832134
33,16599,1.6869112387034393
34,17099,1.7126511204280888
35,17599,1.722478441265987
36,18099,1.7344507483943417
37,18599,1.7302071374791892
38,19099,1.7613780744567784
39,19599,1.7501107218604652
40,20099,1.7574963839338762
41,20599,1.7702170588629258
42,21099,1.7909272196387922
43,21599,1.7909890978381795
44,22099,1.7989618926712718
45,22599,1.8175698950369628
46,23099,1.8349763792544487
47,23599,1.8472229175720698
48,24099,1.833160215049486
49,24599,1.8463744397569801
50,25099,1.8345170746343258
51,25599,1.8453248544032361
52,26099,1.8674715685273295
53,26599,1.8763343907273395
54,27099,1.8899345072645994
55,27599,1.8521358171193074
56,28099,1.8723156483080492
57,28599,1.8655650383715208
58,29099,1.8680721747035471
59,29599,1.8562501103293492
60,30099,1.8389397746323906
61,30599,1.8367527302383755
62,31099,1.829097654099642
63,31599,1.8474699627974343
64,32099,1.8252765111313598
65,32599,1.8111921501897386
66,33099,1.812145903278168
67,33599,1.8158467303488655
68,34099,1.81607304105744
69,34599,1.7966125004271023
70,35099,1.7949319331768914
71,35599,1.7822995289112418
72,36099,1.773116462813455
73,36599,1.7614327962387655
74,37099,1.771704399713404
75,37599,1.7731211050807998
76,38099,1.776301726020413
77,38599,1.7629322090056505
78,39099,1.7619598611931828
79,39599,1.7916587800429276
80,40099,1.8063882389101478
81,40599,1.7900554126962454
82,41099,1.7839395346974474
83,41599,1.7800172332803843
84,42099,1.7900036272012025
85,42599,1.7891751256258064
86,43099,1.811285786245004
87,43599,1.7945769987160571
88,44099,1.7914244495254275
89,44599,1.7953019785059579
90,45099,1.8098294459014759
91,45599,1.8115685454790824
92,46099,1.7936674148191345
93,46599,1.805519505594407
94,47099,1.7974778963815667
95,47599,1.7996642341830003
96,48099,1.7837973423406792
97,48599,1.7739469627393492
98,49099,1.7688617264684183
99,49599,1.7550202890581905
100,50099,1.762420984770862
101,50599,1.761335832687902
102,51099,1.770666344122523
103,51599,1.7668460276656401
104,52099,1.7608883604997785
105,52599,1.7488617019933963
106,53099,1.767341642254676
107,53599,1.7840629570688842
108,54099,1.7736816547260599
109,54599,1.7770176429656146
110,55099,1.7768591866021213
111,55599,1.7629823355498275
112,56099,1.7443269001692447
113,56599,1.7409007021889007
114,57099,1.73796967583128
115,57599,1.7261439347156247
116,58099,1.714024520338634
117,58599,1.7088998827265085
118,59099,1.7230879596340511
119,59599,1.7283304469623664
120,60099,1.7126370050610829
121,60599,1.70326522017913
122,61099,1.701127603897343
123,61599,1.687726895157409
124,62099,1.6804563770105778
125,62599,1.6468472494703663
126,63099,1.6655330004038107
127,63599,1.6678687623050668
128,64099,1.6541446444480339
129,64599,1.6370243498828954
130,65099,1.6248440249526508
131,65599,1.6135330861497648
132,66099,1.6020933203274959
133,66599,1.6165847953287218
134,67099,1.6267698793217444
135,67599,1.609574666900715
136,68099,1.6011629091278863
137,68599,1.600142778043412
138,69099,1.5848784040041504
139,69599,1.580648689947047
140,70099,1.5731889558751264
141,70599,1.5790430774152777
142,71099,1.5718537406586897
143,71599,1.5552908297115589
144,72099,1.5475879281182432
145,72599,1.5452961570055244
146,73099,1.546478341928158
147,73599,1.5228036545642347
148,74099,1.5000346220403482
149,74599,1.5022116377484975
150,75099,1.499235681398862
151,75599,1.5052789881528124
152,76099,1.495948020816514
153,76599,1.4809039526349859
154,77099,1.4720467077993578
155,77599,1.4800735203779898
156,78099,1.4814525535295426
157,78599,1.4940941533225993
158,79099,1.4953067474328137
159,79599,1.4920225883829001
160,80099,1.48139011963221
161,80599,1.4708871815793942
162,81099,1.480255162587699
163,81599,1.4767918935949782
164,82099,1.4577935990198927
165,82599,1.4628247697526602
166,83099,1.4669080441978475
167,83599,1.4939270286233388
168,84099,1.4919396113457022
169,84599,1.5134947571833632
170,85099,1.5117696337109912
171,85599,1.5053448732656227
172,86099,1.5258370835426198
173,86599,1.5356484725938133
174,87099,1.5364048768449399
175,87599,1.549352373637875
176,88099,1.5799053003777639
177,88599,1.5740428778113706
178,89099,1.5934317616949625
179,89599,1.5831500238342626
180,90099,1.5908383150140715
181,90599,1.5993774647370445
182,91099,1.5867717914341248
183,91599,1.5733913162854503
184,92099,1.5602932576256041
185,92599,1.5478888718126917
186,93099,1.544689652172916
187,93599,1.5300342231107047
188,94099,1.504905608031158
189,94599,1.4816394821786327
190,95099,1.475013365394252
191,95599,1.4709418843641382
192,96099,1.451813795749884
193,96599,1.4489644152053696
194,97099,1.4372320598846606
195,97599,1.4341298637744002
196,98099,1.4281484154857287
197,98599,1.4218383549290048
198,99099,1.3937190501033667
199,99599,1.4057050511813776
200,100099,1.404317708637822
201,100599,1.4076683413882833
202,101099,1.4076023139617628
203,101599,1.3841789813141574
204,102099,1.3819893024637837
205,102599,1.3753790769804566
206,103099,1.3614453124555417
207,103599,1.3837505410712378
208,104099,1.3677743222305565
209,104599,1.3743939911394916
210,105099,1.3618651748466701
211,105599,1.3474998400959222
212,106099,1.3475820755785497
213,106599,1.358737335712639
214,107099,1.3640300973144264
215,107599,1.3562430430461316
216,108099,1.3365139563112618
217,108599,1.3192332622651834
218,109099,1.3056111089884925
219,109599,1.3044383594840463
220,110099,1.306674117650658
221,110599,1.3097542306879646
222,111099,1.2990025211848315
223,111599,1.2804317590482976
224,112099,1.2661847287963022
225,112599,1.2618993089853907
226,113099,1.2533812756274145
227,113599,1.2481748058632334
228,114099,1.2314408133775605
229,114599,1.2528428046051265
230,115099,1.2767289531211783
231,115599,1.28160917231849
232,116099,1.2736732955775951
233,116599,1.2623653562945376
234,117099,1.2774158149004584
235,117599,1.27552368804413
236,118099,1.2804603993227677
237,118599,1.2765103986803674
238,119099,1.2796955294137304
239,119599,1.2853399720778669
240,120099,1.2885667406371029
241,120599,1.2794440619541978
242,121099,1.2643360709891618
243,121599,1.2765715773335082
244,122099,1.2614384550176425
245,122599,1.2585878206447678
246,123099,1.2407230691604612
247,123599,1.2330506306253812
248,124099,1.2234759803747814
249,124599,1.2256736742072274
250,125099,1.2269851480802605
251,125599,1.2311310983283417
252,126099,1.2468320199103589
253,126599,1.253143825023016
254,127099,1.259489806821811
255,127599,1.2680395083469653
256,128099,1.2629144092505826
257,128599,1.2463725356363795
258,129099,1.2644784558953317
259,129599,1.241078753665948
260,130099,1.2302548406600424
261,130599,1.240086153320261
262,131099,1.230275232065074
263,131599,1.2266846133261775
264,132099,1.2643115369806746
265,132599,1.268061306015994
266,133099,1.2752851142660964
267,133599,1.2742879812213443
268,134099,1.2807309897548764
269,134599,1.273323109385438
270,135099,1.2849505607528746
271,135599,1.2740028122026121
272,136099,1.290145914413455
273,136599,1.2687465762543326
274,137099,1.2547031004367961
275,137599,1.2448858650481622
276,138099,1.2279778183814687
277,138599,1.2179146266073453
278,139099,1.2201362338631012
279,139599,1.2116529144077783
280,140099,1.1951432638649842
281,140599,1.1905467757601547
282,141099,1.1914280323225883
283,141599,1.1858947323439373
284,142099,1.206379084363013
285,142599,1.2157049671838094
286,143099,1.212259841572128
287,143599,1.209236275313958
288,144099,1.1933677048837057
289,144599,1.1828850851781978
290,145099,1.1848253229659058
291,145599,1.180154462954723
292,146099,1.176267172788875
293,146599,1.159361694035322
294,147099,1.1537284762678968
295,147599,1.1497283848919528
296,148099,1.1686271563512183
297,148599,1.153102659050152
298,149099,1.1565341885946738
299,149599,1.135161674205591
300,150099,1.1519088572864207
301,150599,1.1456329355709138
302,151099,1.1345551343233322
303,151599,1.1449153006912784
304,152099,1.1445630523785637
305,152599,1.1507910349528185
306,153099,1.139919511615136
307,153599,1.1489467282058008
308,154099,1.1439141084533913
309,154599,1.1300883782691105
310,155099,1.1395449164440847
311,155599,1.1379411519042655
312,156099,1.1588006645900573
313,156599,1.141076964721413
314,157099,1.1514852866864453
315,157599,1.1375740020304446
316,158099,1.1319761248283517
317,158599,1.1397448893801247
318,159099,1.1506260627595144
319,159599,1.1345160806383496
320,160099,1.130223553987512
321,160599,1.1447904109755416
322,161099,1.160543761233814
323,161599,1.1553418917941263
324,162099,1.1346859664040274
325,162599,1.1405506348322947
326,163099,1.135129847069273
327,163599,1.124623312931156
328,164099,1.113068778210161
329,164599,1.1010352533215406
330,165099,1.0931868733893872
331,165599,1.0925358734818718
332,166099,1.0943837410456512
333,166599,1.1104857136131963
334,167099,1.1071338885163473
335,167599,1.0990526617042724
336,168099,1.1092527379257535
337,168599,1.1297165994117453
338,169099,1.128048487840533
339,169599,1.116407761346967
340,170099,1.1207783480328692
341,170599,1.1201344671493298
342,171099,1.1202956263018264
343,171599,1.1058575881835582
344,172099,1.1141799682230182
345,172599,1.1135465949747383
346,173099,1.1185100385520808
347,173599,1.1359234013949309
348,174099,1.126836023292798
349,174599,1.1261006505594862
350,175099,1.1320076212366508
351,175599,1.1211010186452155
352,176099,1.1079356758998746
353,176599,1.091086167437114
354,177099,1.0858461105579456
355,177599,1.0800496700286104
356,178099,1.058448676628038
357,178599,1.042718846872371
358,179099,1.0445167574181389
359,179599,1.0351189511851815
360,180099,1.0283118620593965
361,180599,1.0181874859708575
362,181099,1.0228599639545348
363,181599,1.0355833495829758
364,182099,1.0475367636154862
365,182599,1.038369458919501
366,183099,1.0450904253777078
367,183599,1.0594438987953552
368,184099,1.0733525840862024
369,184599,1.0844599213853439
370,185099,1.0669262431583661
371,185599,1.049249917375189
372,186099,1.0604372103065243
373,186599,1.0619101386734833
374,187099,1.0603878804285933
375,187599,1.0619412054692525
376,188099,1.069748516308598
377,188599,1.073028633911198
378,189099,1.0875379217867156
379,189599,1.0824782794455705
380,190099,1.0663040752038575
381,190599,1.0615798423020752
382,191099,1.0619067114136753
383,191599,1.0577720489413833
384,192099,1.0567947257146308
385,192599,1.0621170016143093
386,193099,1.0634824983053506
387,193599,1.0537050482370096
388,194099,1.0372182187838241
389,194599,1.0294631179426936
390,195099,1.0353023905684284
391,195599,1.0197906950262325
392,196099,1.0130016833508209
393,196599,1.012787929114194
394,197099,0.9995730669476205
395,197599,0.9847845272376201
396,198099,0.9798034329643827
397,198599,0.9955139396034044
398,199099,0.997045246828945
399,199599,1.0188644432107254
