,Step,Value
0,99,0.625
1,599,0.623035714
2,1099,0.618805357
3,1599,0.617617304
4,2099,0.614774464
5,2599,0.613626719
6,3099,0.611490452
7,3599,0.612875548
8,4099,0.612461078
9,4599,0.613479325
10,5099,0.609844532
11,5599,0.603746086
12,6099,0.599708625
13,6599,0.600378206
14,7099,0.600624424
15,7599,0.59961818
16,8099,0.598066442
17,8599,0.597085778
18,9099,0.593972063
19,9599,0.593032343
20,10099,0.597102019
21,10599,0.593988142
22,11099,0.59304826
23,11599,0.589617778
24,12099,0.5912216
25,12599,0.590309384
26,13099,0.591072957
27,13599,0.590162228
28,14099,0.584260605
29,14599,0.583417999
30,15099,0.581583819
31,15599,0.582434648
32,16099,0.582324587
33,16599,0.582215628
34,17099,0.578393471
35,17599,0.582609537
36,18099,0.583450108
37,18599,0.580615607
38,19099,0.576809451
39,19599,0.577708023
40,20099,0.579430943
41,20599,0.578636634
42,21099,0.580350267
43,21599,0.582046765
44,22099,0.582226297
45,22599,0.58211832
46,23099,0.582011423
47,23599,0.581191309
48,24099,0.585379396
49,24599,0.583811316
50,25099,0.582973203
51,25599,0.583393471
52,26099,0.58089287
53,26599,0.578417274
54,27099,0.580133102
55,27599,0.574331771
56,28099,0.573588453
57,28599,0.571185902
58,29099,0.57214071
59,29599,0.571419303
60,30099,0.569038443
61,30599,0.568348059
62,31099,0.566664578
63,31599,0.565997932
64,32099,0.567837953
65,32599,0.568409573
66,33099,0.570725478
67,33599,0.569018223
68,34099,0.568328041
69,34599,0.569311427
70,35099,0.565618313
71,35599,0.56796213
72,36099,0.567282509
73,36599,0.566609684
74,37099,0.56427692
75,37599,0.563634151
76,38099,0.56049781
77,38599,0.560892832
78,39099,0.559569618
79,39599,0.556473922
80,40099,0.555194897
81,40599,0.555642948
82,41099,0.553419852
83,41599,0.552171368
84,42099,0.55236394
85,42599,0.553090301
86,43099,0.551559398
87,43599,0.551043804
88,44099,0.548866699
89,44599,0.550520889
90,45099,0.55001568
91,45599,0.551182191
92,46099,0.555670369
93,46599,0.555113665
94,47099,0.557062528
95,47599,0.558991903
96,48099,0.560901984
97,48599,0.561959631
98,49099,0.562054321
99,49599,0.562433778
100,50099,0.559666583
101,50599,0.558355631
102,51099,0.555772075
103,51599,0.556881021
104,52099,0.559312211
105,52599,0.560861946
106,53099,0.557753327
107,53599,0.552175794
108,54099,0.551654036
109,54599,0.552804162
110,55099,0.550609454
111,55599,0.55010336
112,56099,0.549602326
113,56599,0.554106303
114,57099,0.55231524
115,57599,0.553934945
116,58099,0.552681309
117,58599,0.555487829
118,59099,0.556599618
119,59599,0.561033622
120,60099,0.563423286
121,60599,0.565289053
122,61099,0.567136162
123,61599,0.569464801
124,62099,0.572103486
125,62599,0.566382451
126,63099,0.570718627
127,63599,0.57501144
128,64099,0.574261326
129,64599,0.574768713
130,65099,0.576163883
131,65599,0.577902244
132,66099,0.578789888
133,66599,0.57900199
134,67099,0.57821197
135,67599,0.57842985
136,68099,0.579312219
137,68599,0.581019097
138,69099,0.583208906
139,69599,0.581662531
140,70099,0.579845906
141,70599,0.584047447
142,71099,0.585706972
143,71599,0.584135617
144,72099,0.585437118
145,72599,0.589582747
146,73099,0.59168692
147,73599,0.59577005
148,74099,0.598383778
149,74599,0.599066608
150,75099,0.600218799
151,75599,0.600883278
152,76099,0.604874445
153,76599,0.6008257
154,77099,0.603388872
155,77599,0.60402165
156,78099,0.602981434
157,78599,0.60295162
158,79099,0.604422103
159,79599,0.602663597
160,80099,0.604970294
161,80599,0.606420591
162,81099,0.607023052
163,81599,0.608452821
164,82099,0.612368293
165,82599,0.61624461
166,83099,0.616748831
167,83599,0.613081343
168,84099,0.615283862
169,84599,0.614131024
170,85099,0.615989714
171,85599,0.616496483
172,86099,0.617831519
173,86599,0.615938918
